School Name,County Name (School),District Name (School),School Type (School),Census Day Enrollment (School),English Learners % (School),American Indian or Alaska Native % (School),Asian % (School),Black or African American % (School),Filipino % (School),Hispanic or Latino % (School),Native Hawaiian or Pac Islander % (School),Two or More Races % (School),None Reported % (School),White % (School),Free/Reduced Meals % (School),Per Pupil Ratio: Teacher (School),Avg Years Teaching (School),Suspension Rate (School),SAT Avg Results-Mathematics # (School),SAT Avg Results-Writing # (School)
TEACH Tech Charter High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,162,17.3,1.9,0,43.2,0,53.7,0,0,0,1.2,94.4,17.6,1,0,N/A,N/A
Tehachapi High (Tehachapi Unified),Kern,Tehachapi Unified,High School,1272,4.9,0.6,1.4,1.8,0.5,29.1,0,1.1,0,65.6,27.1,22.2,13,4.7,514,490
Temecula Valley High (Temecula Valley Unified),Riverside,Temecula Valley Unified,High School,2728,3.6,0.9,2.6,3.7,4.5,30.1,0.1,5.7,0.8,51.5,22.2,25.6,15,1.2,497,491
Temescal Canyon High (Lake Elsinore Unified),Riverside,Lake Elsinore Unified,High School,2221,3,0.7,3.1,5.5,2.9,45.5,0.5,1.1,0,40.7,52.4,23.5,12,8,504,475
Temple City High (Temple City Unified),Los Angeles,Temple City Unified,High School,2076,12.9,0.1,67.2,0.5,1.6,18.3,0.1,2.1,0,9.9,36.9,24.7,14,0.8,602,557
Templeton High (Templeton Unified),San Luis Obispo,Templeton Unified,High School,742,1.8,0.4,2,0.4,0.3,19,0.3,4.2,0.9,72.5,9.6,21,9,3.2,524,517
Tennyson High (Hayward Unified),Alameda,Hayward Unified,High School,1294,28.6,0.2,7.2,7.5,7.7,69.3,4.4,0.4,0.2,3.1,82.9,18.9,10,7.5,432,430
Terra Linda High (San Rafael City High),Marin,San Rafael City High,High School,1117,13,1.4,6.8,2.4,1.4,40.3,0.4,1.3,0.6,45.2,32.2,21.3,11,3.8,520,529
Terra Nova High (Jefferson Union High),San Mateo,Jefferson Union High,High School,1012,3.4,0.7,5.1,1.9,8.9,29.7,2.8,12.6,0,38.2,19.4,21.6,8,7.1,551,525
Tesoro High (Capistrano Unified),Orange,Capistrano Unified,High School,2451,1.3,0.4,8.2,1.8,2.7,14.1,0.1,5.1,0.2,67.4,6.9,27.1,15,2.4,558,546
The Education Corps (Inyo County Office of Education),Inyo,Inyo County Office of Education,High School,274,13.5,0.4,0,14.2,0,81.4,0,0,3.3,0.7,100,22.8,5,0.2,0,0
The High School at Moorpark College (Moorpark Unified),Ventura,Moorpark Unified,High School,82,N/A,1.2,8.5,2.4,2.4,12.2,0,2.4,0,70.7,0,20.5,6,0,538,542
The MET (Sacramento City Unified),Sacramento,Sacramento City Unified,High School,303,2,2,1.7,9.9,0.3,33.7,0.7,9.2,0,42.6,52.8,18.9,8,8.5,481,503
Theodore Roosevelt Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1670,22.2,0.1,0.1,0.4,0.1,98.4,0,0,0.2,0.7,85.1,18.1,17,0.4,378,380
Thomas Downey High (Modesto City High),Stanislaus,Modesto City High,High School,2026,10.2,0.3,1.6,2.6,0.5,60.4,0.4,3,1,30.2,68.8,24.2,9,6.3,490,458
Thomas Jefferson Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,797,28.1,0.1,0,10.2,0.1,88.5,0.1,0.3,0.4,0.4,80.9,20.6,14,3.3,394,383
Thousand Oaks High (Conejo Valley Unified),Ventura,Conejo Valley Unified,High School,2296,2.6,0.7,5.4,1.5,2,24.9,0.3,2.8,0,62.4,19.8,25.1,14,5.4,557,525
Tioga High (Big Oak Flat-Groveland Unified),Tuolumne,Big Oak Flat-Groveland Unified,High School,53,N/A,0,0,0,1.9,13.2,0,0,3.8,81.1,41.5,10.1,9,4.8,0,0
Tokay High (Lodi Unified),San Joaquin,Lodi Unified,High School,2042,19.7,0.5,8.6,1.8,1.9,55.5,0.3,0.5,1.2,29.7,60.5,22,13,5.2,500,486
Tomales High (Shoreline Unified),Marin,Shoreline Unified,High School,156,16,0.6,0.6,0.6,0,60.3,1.3,1.3,0,35.3,48.1,10.7,12,9.3,489,473
Torrance High (Torrance Unified),Los Angeles,Torrance Unified,High School,2071,8,0.4,18.2,3.8,12.2,38.5,0.7,5.3,1.9,18.9,35.2,24.4,12,2.8,522,488
Torrey Pines High (San Dieguito Union High),San Diego,San Dieguito Union High,High School,2602,5,0.2,22.8,1.4,1,11.8,0.2,1.4,0,61.2,5.6,26.9,13,1.1,635,612
Trabuco Hills High (Saddleback Valley Unified),Orange,Saddleback Valley Unified,High School,2912,4.6,0.2,7.6,1.8,3.4,24.7,0.2,5.9,0.2,56,14,25.9,14,3.4,556,523
Tracy High (Tracy Joint Unified),San Joaquin,Tracy Joint Unified,High School,2121,10.6,0.2,9.9,5.6,4,42,0.4,3.6,0,34.3,32,25.6,14,13.1,518,517
Tranquillity High (Golden Plains Unified),Fresno,Golden Plains Unified,High School,453,35.8,0,0,0,0,98,0,0,0,2,89,20.6,8,5.2,386,395
Trinity High (Trinity Alps Unified),Trinity,Trinity Alps Unified,High School,318,0.9,4.4,0.9,0.3,0.3,7.5,0,12.3,0.6,73.6,60.7,19.1,11,8.3,507,481
Trona High (Trona Joint Unified),San Bernardino,Trona Joint Unified,High School,105,N/A,1,0,7.6,0,30.5,0,5.7,0,55.2,71.4,10.8,14,12.1,0,0
Troy High (Fullerton Joint Union High),Orange,Fullerton Joint Union High,High School,2755,3.5,0.1,42,1.1,7,25.2,0.3,4.1,0,20.2,21.3,26.9,15,0.7,662,624
Tulare Union High (Tulare Joint Union High),Tulare,Tulare Joint Union High,High School,1740,14,1,1.3,4.3,0.5,69.6,0.2,0.3,0.3,22.4,70.6,22.1,14,3.7,460,436
Tulare Western High (Tulare Joint Union High),Tulare,Tulare Joint Union High,High School,1853,17.7,0.4,1.3,3.7,0.3,75.8,0.2,0.3,0.7,17.5,73.7,24.5,12,5.1,463,439
Tulelake High (Tulelake Basin Joint Unified),Modoc,Tulelake Basin Joint Unified,High School,221,36.2,0,0,0,0,67.4,0,1.8,0.9,29.9,72.9,14.3,9,15.9,461,470
Turlock High (Turlock Unified),Stanislaus,Turlock Unified,High School,2198,17,0.9,3,2,0,55.7,0.4,1.3,1,35.6,60.4,22,13,6.7,497,477
Tustin High (Tustin Unified),Orange,Tustin Unified,High School,2287,16.9,0.2,4.8,3,2.4,76.6,0.8,1,0.2,11,68.6,25.1,10,4.3,464,448
Twentynine Palms High (Morongo Unified),San Bernardino,Morongo Unified,High School,782,2.2,0.5,1,12.4,2.9,25.3,2.6,6.8,0,48.5,52.8,23.3,14,7.3,478,458
Ukiah High (Ukiah Unified),Mendocino,Ukiah Unified,High School,1594,13.2,5.3,1.4,1.2,0.6,45.9,0.1,1.8,0,43.8,60.1,21.5,10,5.4,518,488
Ulysses S. Grant Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1960,16.8,0.4,2,3.7,1.9,57.9,0.1,0.2,0.2,33.7,73.5,22.7,18,0.2,436,440
Union Mine High (El Dorado Union High),El Dorado,El Dorado Union High,High School,1047,0.9,1.2,0.9,0.9,0.1,18.5,0.6,5.5,0,72.3,28.1,22.3,12,9.1,530,502
University City High (San Diego Unified),San Diego,San Diego Unified,High School,1813,5.8,0.3,11.1,4,5.9,34.5,0.2,7.1,0.1,36.8,40,25.7,15,3.8,535,509
University High (Irvine Unified),Orange,Irvine Unified,High School,2617,10.2,0.3,46.2,2.3,2.8,8.8,0.3,4.3,0.1,35,16.9,26.3,12,0,657,619
University High (Fresno Unified),Fresno,Fresno Unified,High School,482,N/A,0.8,22.6,2.5,9.8,22.8,0,4.4,0.4,36.7,11.4,25,10,1.3,569,569
University Preparatory (Shasta Union High),Shasta,Shasta Union High,High School,967,0.4,0.4,5.2,0.4,0.3,10.2,0.2,10.9,0.5,71.9,14.6,28.5,9,2.9,500,492
University Preparatory (Victor Valley Union High),San Bernardino,Victor Valley Union High,High School,1115,3.9,0.6,7.1,7.4,2.9,66.3,1,1.1,0.3,13.4,68.2,22.6,7,0.5,571,560
University Preparatory Academy Charter (Santa Clara County Office of Education),Santa Clara,Santa Clara County Office of Education,High School,593,1.9,0.3,34.7,8.1,5.2,30.7,0.2,0.7,0,20.1,10.8,22.1,3,0,595,583
University Preparatory High (Tulare County Office of Education),Tulare,Tulare County Office of Education,High School,245,1.6,0.4,5.3,1.6,0,46.1,0.8,1.2,0.8,43.7,39.6,24.5,3,0,452,493
University Preparatory Value High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,111,25.2,0,0,0.9,0,9.9,0,0,88.3,0.9,90.1,19.8,1,4.2,N/A,N/A
University Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1671,8.7,0.2,7.5,23.5,1.9,54.8,0.4,0.8,0.7,10.2,71,21.2,15,1.2,465,454
Upland High (Upland Unified),San Bernardino,Upland Unified,High School,3391,7.9,0.5,5.4,9.4,2.1,54.6,0.6,2.1,0,25.2,50.3,23.2,13,5.1,495,479
Upper Lake High (Upper Lake Union High),Lake,Upper Lake Union High,High School,N/A,1.5,7.5,1.1,1.5,0.4,26.8,0,8.3,0,54.3,N/A,22.1,8,8.6,468,471
Urban Corps of San Diego County Charter (Mono County Office of Education),Mono,Mono County Office of Education,High School,298,58.1,0.7,5,17.1,0,48,0,1.3,0.3,27.5,100,32.7,3,0,N/A,N/A
USC East College Prep (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,97,14.4,0,1,3.1,1,91.8,0,1,2.1,0,91.8,19.4,1,0,N/A,N/A
USC Hybrid High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,466,5.4,0.2,1.3,24.2,2.1,70.2,0,1.3,0,0.6,83.9,21.2,2,4.9,0,0
Vacaville High (Vacaville Unified),Solano,Vacaville Unified,High School,1987,4.1,1,2.5,5.8,2.8,31.1,1,3.8,0.5,51.5,31.1,22.7,9,5.6,512,497
Valencia High (Placentia-Yorba Linda Unified),Orange,Placentia-Yorba Linda Unified,High School,2797,11.1,0.1,17.4,1.9,2.4,59.9,0.3,0.8,0.6,16.5,55,26.3,14,1.7,581,548
Valencia High (William S. Hart Union High),Los Angeles,William S. Hart Union High,High School,3103,4.2,0.1,9.2,4.4,6.9,26.7,0.1,5.8,0.1,46.7,6.8,25.2,14,2.4,541,532
Valhalla High (Grossmont Union High),San Diego,Grossmont Union High,High School,2138,10.2,0.6,3.1,4,1.1,24.8,0.3,7,0,59.1,55.3,25,14,2.8,527,509
Vallejo High (Vallejo City Unified),Solano,Vallejo City Unified,High School,1688,13.4,0.5,1.2,30.6,15,42.6,2.2,1.4,1.2,5.3,68.2,23,11,18.6,428,419
Valley Academy of Arts and Sciences (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1201,5.7,0.7,3.2,5.3,7.4,58.6,0.4,1.6,0.4,22.4,61,24.3,15,0.7,424,438
Valley Center High (Valley Center-Pauma Unified),San Diego,Valley Center-Pauma Unified,High School,1183,12.1,8.7,1.4,0.8,1.6,46.7,0.3,2.1,0,38.4,43,21.9,14,5.1,498,485
Valley Charter High (Stanislaus County Office of Education),Stanislaus,Stanislaus County Office of Education,High School,189,2.1,0.5,1.6,2.6,1.6,28.6,0.5,6.3,2.1,56.1,40.7,16.4,5,6,502,470
Valley High (Santa Ana Unified),Orange,Santa Ana Unified,High School,2241,36.4,0.1,1.7,0.3,0.1,97.1,0.1,0.1,0,0.6,94.2,20.8,10,6.1,424,405
Valley High (Elk Grove Unified),Sacramento,Elk Grove Unified,High School,1456,23.7,0.3,22,21.8,3,42.3,3.2,3.6,0,3.7,89.4,18,11,9.6,418,397
Valley Prep 9-12 (Acton-Agua Dulce Unified),Los Angeles,Acton-Agua Dulce Unified,High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Valley View High (Moreno Valley Unified),Riverside,Moreno Valley Unified,High School,2633,10.1,0.4,2.5,15.4,2.8,66.4,0.6,1.1,0,10.7,71.2,23.6,10,4.1,454,437
Valor Academy High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,344,11.6,0.3,1.5,1.5,0.6,91.6,0,0,2.3,2.3,83.7,17.4,2,0,N/A,N/A
Van Nuys Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2594,12.3,0.1,12.7,4.2,7.9,62.9,0.2,0.7,0.5,10.7,77.2,21.3,16,0.2,530,503
Vanden High (Travis Unified),Solano,Travis Unified,High School,1655,2.2,0.4,5.9,15.1,13,22.3,1.2,7.9,0.1,34,24.5,22.9,11,4.7,490,478
Vasquez High (Acton-Agua Dulce Unified),Los Angeles,Acton-Agua Dulce Unified,High School,399,5,1.3,0.5,1.5,0.3,37.6,0,4.5,0,54.4,25.6,21.2,5,4.5,510,516
Venice Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2005,9,0.4,6,12.8,1,64.1,0.3,1,0.4,13.8,68.9,21.7,18,0.4,475,458
Ventura High (Ventura Unified),Ventura,Ventura Unified,High School,2162,13,0.7,1.9,1.5,0.4,51.9,0.2,3.3,0,39.9,41.7,23.2,15,3.6,517,509
Verdugo Hills Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1418,8.5,1,2.9,4.7,3.2,54.9,0.2,1.1,0,32.1,68.9,20.3,18,0.4,477,455
Victor Valley High (Victor Valley Union High),San Bernardino,Victor Valley Union High,High School,1892,10.1,0.7,1.8,22.3,0.6,60.5,0.7,1.2,0.5,11.7,79.9,24.6,11,7.3,422,415
View Park Preparatory Accelerated High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,654,0.8,0.5,0.2,95.4,0,3.5,0.3,0,0,0.2,67.6,28.4,2,1.3,N/A,N/A
Villa Park High (Orange Unified),Orange,Orange Unified,High School,2466,6.5,0.2,9.9,1.7,2.3,41.1,0.7,2.3,0.2,41.6,27.7,26,10,3.4,532,505
Vintage High (Napa Valley Unified),Napa,Napa Valley Unified,High School,1845,6.7,0.8,1,0.8,0.9,53.4,0.3,4.2,0.7,38,40.1,22.8,12,5,500,484
Visalia Charter Independent Study (Visalia Unified),Tulare,Visalia Unified,High School,525,7.4,1.3,3,2.5,0.2,62.7,0.4,1.7,1.5,26.7,86.1,20.1,7,1.3,0,0
Visalia Technical Early College (Visalia Unified),Tulare,Visalia Unified,High School,254,2.8,2,0.4,2,0.4,41.7,0,4.3,4.3,44.9,46.1,22,7,4.7,0,0
Vista del Lago High (Folsom-Cordova Unified),Sacramento,Folsom-Cordova Unified,High School,1626,0.9,0.6,12.7,1.4,2.7,8.1,0.1,1.9,0,72.5,7.1,24.3,11,7.5,565,541
Vista del Lago High (Moreno Valley Unified),Riverside,Moreno Valley Unified,High School,2143,13.2,0.2,2.2,17.5,2.4,69.2,0.7,1.2,0,6.5,80.2,24.8,9,2.3,409,397
Vista High (Vista Unified),San Diego,Vista Unified,High School,2524,14.4,0.3,1.3,2.2,1.5,72.5,1.2,2.1,0,18.9,62.4,19.5,11,4.7,487,464
Vista Murrieta High (Murrieta Valley Unified),Riverside,Murrieta Valley Unified,High School,3559,1.9,0.2,6.2,7.6,6.6,32.5,1.2,6.7,0,39.1,27.1,28.2,8,0.4,506,491
Vista Real Charter High (Ventura County Office of Education),Ventura,Ventura County Office of Education,High School,954,12.7,0.1,0.4,0.9,0.2,74.9,0.1,3.2,0,20,74.6,22.6,5,0.3,0,0
Visual and Performing Arts at Legacy High School Complex (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,431,12.1,0,0,1.2,0.2,95.6,0.2,0.2,0.7,1.9,83.1,23.3,13,1.1,393,409
Wallenberg (Raoul) Traditional High (San Francisco Unified),San Francisco,San Francisco Unified,High School,636,12.9,0.8,51.3,11.6,4.4,14.5,0.2,1.4,3.1,12.7,60.5,20.4,11,1.3,503,454
Wallis Annenberg High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,482,17.6,0,0,6.4,0.4,92.5,0,0.2,0.4,0,96.9,21,3,1,424,404
Walnut High (Walnut Valley Unified),Los Angeles,Walnut Valley Unified,High School,2675,7.7,0.1,54.8,2,8.4,25.6,0.5,1.1,0,7.5,15.9,24.3,15,1.2,608,560
Warner Junior/Senior High (Warner Unified),San Diego,Warner Unified,High School,95,9.5,27.4,0,1.1,0,37.9,1.1,2.1,0,30.5,76.8,11,5,10.8,0,0
Warren High (Downey Unified),Los Angeles,Downey Unified,High School,3701,7.8,0.4,1.2,2.7,1.1,88.9,0.3,0.1,0,5.3,64.1,25.1,14,2.9,471,451
Wasco High (Wasco Union High),Kern,Wasco Union High,High School,1701,17.2,0,0.1,1.7,0.1,92.4,0.1,0.2,0.1,5.4,79.4,22.3,8,2.8,453,425
Washington (George) High (San Francisco Unified),San Francisco,San Francisco Unified,High School,2054,15.5,0.5,62.3,4.1,4.4,14.9,0.8,1.2,3.4,8.4,62.2,19.9,16,2.4,517,449
Washington High (Fremont Unified),Alameda,Fremont Unified,High School,1822,9.3,0.3,33.6,5.2,8.6,21.9,0.8,3.1,0,26.5,29.2,23,10,3.4,412,397
Washington High (Washington Unified),Fresno,Washington Unified,High School,1032,28.6,3.8,9.7,5.8,0.1,70.8,0,0,1.1,8.7,84.7,21.6,8,7.4,564,531
Waterford High (Waterford Unified),Stanislaus,Waterford Unified,High School,576,20.3,0.2,0.7,0.7,0.5,58.2,0.5,0,1.7,37.5,65.8,21.7,8,13.6,453,435
Watsonville High (Pajaro Valley Unified),Santa Cruz,Pajaro Valley Unified,High School,1925,33.3,0,0.5,0.3,0.3,96.3,0,0.2,0,2.4,81.4,24.4,13,0,435,414
Weed High (Siskiyou Union High),Siskiyou,Siskiyou Union High,High School,155,3.2,1.3,7.7,7.7,0.6,18.7,0.6,4.5,0,58.7,63.2,14.1,15,7.9,0,0
WESM Health/Sports Medicine (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1121,1.7,0.5,1.3,73.1,0.5,17.6,0.3,1.2,1,4.5,56.6,20.8,14,2.6,432,436
West Adams Preparatory High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1547,30.9,0.1,1,6.5,0.1,90.8,0.1,0.1,0.6,0.8,90.5,17.1,12,0.1,399,376
West Campus (Sacramento City Unified),Sacramento,Sacramento City Unified,High School,852,1.5,0.2,32.3,6.2,1.9,34,0.5,6.5,0,18.4,62.8,26.6,13,0.2,536,525
West Covina High (West Covina Unified),Los Angeles,West Covina Unified,High School,2376,4.8,0.5,9.9,3.6,5.1,74,0.4,0.1,0.6,5.7,65.9,24.2,13,3.7,490,456
West High (Torrance Unified),Los Angeles,Torrance Unified,High School,2078,7,0.2,36.4,3.7,5.7,18.6,0.3,6.7,1.3,27,22,23.1,12,4.6,600,553
West High (Kern High),Kern,Kern High,High School,2027,11.1,0.6,1.8,13.5,1.4,65.6,0.2,2.1,2.1,12.8,83.9,24.5,11,14,453,438
West Hills High (Grossmont Union High),San Diego,Grossmont Union High,High School,1942,2.2,0.4,2.1,1.1,1.1,25,0.5,9.6,0,60.2,45.8,26.1,17,2.1,528,498
West Ranch High (William S. Hart Union High),Los Angeles,William S. Hart Union High,High School,2455,3.4,0.1,15.6,4.4,5.5,21.8,0.1,5.5,0,46.9,8.4,26.9,12,2.3,564,545
West Shores High (Coachella Valley Unified),Riverside,Coachella Valley Unified,High School,443,27.8,0.2,0,2,0.2,87.6,0,0.2,2.5,7.2,95.7,16.3,10,7.8,395,399
West Valley High (Hemet Unified),Riverside,Hemet Unified,High School,1732,8,0.7,1.3,9,2,58.8,0.6,3.1,0,24.4,81.2,21.8,12,5.3,501,475
West Valley High (Anderson Union High),Shasta,Anderson Union High,High School,870,1.3,4.4,1.4,0.7,0.1,13.6,0.3,3.1,0.1,76.3,39.8,24.9,15,8.7,436,425
Western High (Anaheim Union High),Orange,Anaheim Union High,High School,2125,23.4,0.6,8.9,3.3,5,66.6,1,3.2,0,11.3,72,26.6,14,3.7,500,450
Westlake High (Conejo Valley Unified),Ventura,Conejo Valley Unified,High School,2370,2.2,0.4,12.8,2.5,1.9,20,0.4,3.8,0,58.1,15.2,26.9,12,3.1,597,576
Westminster High (Huntington Beach Union High),Orange,Huntington Beach Union High,High School,2622,24.6,1.3,40.2,1,1,49.6,0.8,0.8,0.7,4.8,77.9,23.9,13,3.2,518,459
Westmont High (Campbell Union High),Santa Clara,Campbell Union High,High School,1541,8.9,0.6,14.5,3.3,2.3,31.2,0.4,3.7,0.6,43.4,20.9,22.9,8,5.8,551,547
Westmoor High (Jefferson Union High),San Mateo,Jefferson Union High,High School,1669,15.9,0.1,25.5,1,43.3,18.8,0.4,5,0,6,38.8,22.4,14,4.2,546,501
Weston Ranch High (Manteca Unified),San Joaquin,Manteca Unified,High School,1232,10.4,0.1,12,22.9,10.8,45.6,1,1.1,0,6.6,65.6,21.9,8,28.3,461,443
Westview High (Poway Unified),San Diego,Poway Unified,High School,2304,3.3,0.2,29.4,1.8,7.8,9.8,0.4,5.2,0.4,45,12.3,27.5,13,1.2,602,574
Westwood High (Westwood Unified),Lassen,Westwood Unified,High School,82,4.9,3.7,0,2.4,0,22,0,1.2,0,70.7,59.8,14.2,7,3.4,0,0
Whale Gulch High (Leggett Valley Unified),Mendocino,Leggett Valley Unified,High School,9,N/A,0,0,0,0,11.1,0,0,0,88.9,0,4.5,6,7.1,0,0
Wheatland Union High (Wheatland Union High),Yuba,Wheatland Union High,High School,707,2.1,1.1,2.1,4.2,0.8,28.9,0.6,9.5,0.8,51.9,36.9,22.4,10,9.1,496,481
Whitmore Charter High (Ceres Unified),Stanislaus,Ceres Unified,High School,138,N/A,0.7,1.4,1.4,1.4,21.7,0,3.6,1.4,68.1,12.3,16.9,3,0,0,0
Whitney (Gretchen) High (ABC Unified),Los Angeles,ABC Unified,High School,1011,0.2,0.4,63.3,1.9,16.3,12.2,0.5,1.8,0,3.7,21.3,24.7,17,0.2,683,647
Whitney High (Rocklin Unified),Placer,Rocklin Unified,High School,1913,0.7,0.4,8,1.8,5,12.7,0.4,6.9,0.1,64.7,18.2,24,9,2.8,542,513
Whittier High (Whittier Union High),Los Angeles,Whittier Union High,High School,2082,6.1,0.3,0.3,0.4,0.3,92.5,0,0.1,0.3,5.6,74.5,24.8,11,5.2,456,433
Will C. Wood High (Vacaville Unified),Solano,Vacaville Unified,High School,1712,3.3,0.8,2.4,10.6,3.9,33.6,1.2,4.4,0.8,42.3,37.9,22.6,12,9.4,509,473
William C. Overfelt High (East Side Union High),Santa Clara,East Side Union High,High School,1449,27.6,0.1,9.9,2.1,6.1,79.1,1.1,0.8,0,0.8,80.2,20.3,10,19.5,449,415
William J. (Pete) Knight High (Antelope Valley Union High),Los Angeles,Antelope Valley Union High,High School,2956,13.1,0.2,1,14.9,1,76,0.1,1.7,0,5,73.9,22.9,11,7.3,432,439
William S. Hart High (William S. Hart Union High),Los Angeles,William S. Hart Union High,High School,2342,13.7,0.1,3.4,1.7,1.9,44.2,0.1,3.3,0,45.3,24.6,24.9,14,1,536,525
William Workman High (Hacienda la Puente Unified),Los Angeles,Hacienda la Puente Unified,High School,1117,11.9,0.4,3.6,1.5,3.5,89.6,0,0.2,0,1.3,86.5,22.4,10,3.9,447,417
Williams Junior/Senior High (Williams Unified),Colusa,Williams Unified,High School,547,25.2,0.2,1.5,0.2,0,93.1,0.4,0,0,4.8,77.9,22.3,10,7.8,416,418
Willits Charter (Willits Unified),Mendocino,Willits Unified,High School,125,N/A,8,0,0,0,12,0,3.2,0,76.8,74.4,18.9,6,5.5,0,0
Willits High (Willits Unified),Mendocino,Willits Unified,High School,398,8.3,6.3,1.5,0.8,0,33.7,1,1.8,0.3,54.8,64.8,16.9,9,12.4,487,486
Willow Glen High (San Jose Unified),Santa Clara,San Jose Unified,High School,1697,10.1,0.4,5.1,4.1,2,54.1,0.6,0.9,0.6,32.1,37.5,22.4,10,4,512,499
Willows High (Willows Unified),Glenn,Willows Unified,High School,443,10.2,2.5,4.5,1.4,0,47.4,0.9,0.7,0.2,42.4,54.2,22.3,8,2.8,435,438
Wilmer Amina Carter High (Rialto Unified),San Bernardino,Rialto Unified,High School,2411,10.2,0.3,1,18.1,0.6,72,0.7,0.9,0,6.4,70.6,21.7,12,6,437,427
Wilson High (Long Beach Unified),Los Angeles,Long Beach Unified,High School,3792,12.5,0.3,7.2,11.7,1.8,54.7,0.8,0.9,1.8,20.8,56.7,24.6,16,3.9,464,465
Windsor High (Windsor Unified),Sonoma,Windsor Unified,High School,1712,8.7,1.3,2.1,1.3,0.6,41.8,0.8,1.1,0,51.1,29.3,22.6,11,3.7,502,503
Winters High (Winters Joint Unified),Yolo,Winters Joint Unified,High School,435,18.4,0.7,0.7,1.6,0.7,65.7,0,0.9,0,29.7,55.6,19.2,14,9.3,471,451
Woodbridge High (Irvine Unified),Orange,Irvine Unified,High School,2447,8.5,0.3,36.1,2.1,3.3,11.1,0.2,3.7,0.6,42.6,17.9,25,9,1.7,621,581
Woodcreek High (Roseville Joint Union High),Placer,Roseville Joint Union High,High School,2221,1.7,0.4,5.4,2.7,3.3,16.5,0.1,6.2,1.2,64.2,17.5,23.3,15,3.1,533,502
Woodlake High (Woodlake Unified),Tulare,Woodlake Unified,High School,663,19.9,0,0.6,0.3,0,86,0,0,0,13.1,83.3,20.8,7,4.3,431,416
Woodland Senior High (Woodland Joint Unified),Yolo,Woodland Joint Unified,High School,1318,12.2,0.3,3.2,1.1,0.5,67.8,0.2,0.6,0.5,25.9,63.4,22,12,9.8,449,450
Woodrow Wilson Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1543,11.6,0.3,3,2.2,0.6,92,0.1,0.4,0.2,1.2,89.7,19.1,16,0.2,402,407
Woodside High (Sequoia Union High),San Mateo,Sequoia Union High,High School,1781,13.6,0.3,2.5,2,1.1,55.6,1.3,2.4,2.2,32.5,41.3,17.2,11,4.1,519,515
Yerba Buena High (East Side Union High),Santa Clara,East Side Union High,High School,1788,24.7,0.1,36.7,1.1,6.8,53.5,0.3,0.3,0,1.3,68.6,22.8,10,0.4,481,441
Ygnacio Valley High (Mt. Diablo Unified),Contra Costa,Mt. Diablo Unified,High School,1139,31.3,0.5,2.6,4.6,3.9,72.1,0.5,1.7,1.3,12.8,74.7,18.9,11,7,435,430
Yorba Linda High (Placentia-Yorba Linda Unified),Orange,Placentia-Yorba Linda Unified,High School,1791,3.1,0.1,16.6,1.3,2,16.5,0.2,2,0.3,60.9,10.6,26.6,12,2.6,572,539
Yosemite High (Yosemite Unified),Madera,Yosemite Unified,High School,648,1.4,2.8,0.8,0.3,0.6,15,0,7.6,0,73,45.4,20.3,14,8.1,520,496
Yosemite Park High (Mariposa County Unified),Mariposa,Mariposa County Unified,High School,1,N/A,0,0,0,0,0,0,0,0,100,0,0.5,14,0,N/A,N/A
YouthBuild Charter School of California (Inyo County Office of Education),Inyo,Inyo County Office of Education,High School,1370,24.3,0,0.7,15.4,0.1,80.3,0.2,0.9,0.1,2.2,96.2,21.5,4,0,0,0
YouthBuild Charter School of California Central (Inyo County Office of Education),Inyo,Inyo County Office of Education,High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Yreka High (Yreka Union High),Siskiyou,Yreka Union High,High School,615,3.3,5.7,1.5,0.3,0.2,15.9,0,8,0.3,68.1,46.7,18.5,13,4.6,507,467
Yuba City High (Yuba City Unified),Sutter,Yuba City Unified,High School,1766,8.3,0.8,11.2,1.7,0.5,46.5,0.5,4.8,0.6,33.4,58.3,18.7,12,7.8,491,465
